Code,Area,Year,Sex,Pupils,Attainment8,Progress8
E09000001,City of London,2016/17,All,.,.,.
E09000002,Barking and Dagenham,2016/17,All,2185,46.7,0.23
E09000003,Barnet,2016/17,All,3528,54.7,0.47
E09000004,Bexley,2016/17,All,3141,49,-0.05
E09000005,Brent,2016/17,All,2908,49,0.49
E09000006,Bromley,2016/17,All,3258,49.8,0.12
E09000007,Camden,2016/17,All,1513,48.3,0.05
E09000008,Croydon,2016/17,All,3579,45,0.06
E09000009,Ealing,2016/17,All,2722,48.7,0.42
E09000010,Enfield,2016/17,All,3487,46.2,0.07
E09000011,Greenwich,2016/17,All,2166,45.9,-0.05
E09000012,Hackney,2016/17,All,2002,49.4,0.38
E09000013,Hammersmith and Fulham,2016/17,All,1313,50.9,0.17
E09000014,Haringey,2016/17,All,2127,46.5,0.29
E09000015,Harrow,2016/17,All,2049,49.7,0.47
E09000016,Havering,2016/17,All,2794,47.5,-0.04
E09000017,Hillingdon,2016/17,All,3075,47.1,0.14
E09000018,Hounslow,2016/17,All,2641,48,0.41
E09000019,Islington,2016/17,All,1377,45.6,0.13
E09000020,Kensington and Chelsea,2016/17,All,739,55,0.45
E09000021,Kingston upon Thames,2016/17,All,1517,55.5,0.41
E09000022,Lambeth,2016/17,All,1949,44.3,-0.12
E09000023,Lewisham,2016/17,All,2247,44.2,-0.28
E09000024,Merton,2016/17,All,1420,50.2,0.5
E09000025,Newham,2016/17,All,3523,48.4,0.41
E09000026,Redbridge,2016/17,All,3458,51.2,0.42
E09000027,Richmond upon Thames,2016/17,All,1374,52.7,0.14
E09000028,Southwark,2016/17,All,2328,50.5,0.31
E09000029,Sutton,2016/17,All,2759,56.2,0.24
E09000030,Tower Hamlets,2016/17,All,2623,47.2,0.25
E09000031,Waltham Forest,2016/17,All,2486,45.5,0.14
E09000032,Wandsworth,2016/17,All,1695,49.5,0.21
E09000033,Westminster,2016/17,All,1535,52.6,0.47
E13000001,Inner London,2016/17,All,24971,48.2,0.21
E13000002,Outer London,2016/17,All,50547,49.2,0.23
E12000001,North East,2016/17,All,25177,44.6,-0.21
E12000002,North West,2016/17,All,72289,45.6,-0.14
E12000003,Yorkshire and the Humber,2016/17,All,53173,45.4,0.03
E12000004,East Midlands,2016/17,All,45492,45.4,-0.11
E12000005,West Midlands,2016/17,All,58919,45.4,-0.08
E12000006,East,2016/17,All,60153,46.7,-0.01
E12000007,London,2016/17,All,75518,48.9,0.22
E12000008,South East,2016/17,All,83903,47.4,-0.02
E12000009,South West,2016/17,All,50308,46.2,-0.13
E92000001,England,2016/17,All,524932,46.4,-0.03
E09000001,City of London,2016/17,Boys,.,.,.
E09000002,Barking and Dagenham,2016/17,Boys,1146,43.5,0.01
E09000003,Barnet,2016/17,Boys,1811,52.3,0.25
E09000004,Bexley,2016/17,Boys,1558,46.5,-0.23
E09000005,Brent,2016/17,Boys,1444,46.8,0.32
E09000006,Bromley,2016/17,Boys,1568,46.9,-0.12
E09000007,Camden,2016/17,Boys,635,44.3,-0.24
E09000008,Croydon,2016/17,Boys,1716,41.3,-0.19
E09000009,Ealing,2016/17,Boys,1393,46.1,0.23
E09000010,Enfield,2016/17,Boys,1864,44.1,-0.14
E09000011,Greenwich,2016/17,Boys,1135,43.3,-0.26
E09000012,Hackney,2016/17,Boys,917,46.2,0.17
E09000013,Hammersmith and Fulham,2016/17,Boys,675,47.2,-0.03
E09000014,Haringey,2016/17,Boys,1110,44.6,0.12
E09000015,Harrow,2016/17,Boys,1029,46.8,0.22
E09000016,Havering,2016/17,Boys,1435,45.6,-0.16
E09000017,Hillingdon,2016/17,Boys,1631,44.2,-0.09
E09000018,Hounslow,2016/17,Boys,1392,45.6,0.25
E09000019,Islington,2016/17,Boys,715,43.8,-0.07
E09000020,Kensington and Chelsea,2016/17,Boys,433,55.5,0.33
E09000021,Kingston upon Thames,2016/17,Boys,726,53.3,0.21
E09000022,Lambeth,2016/17,Boys,1016,40.9,-0.38
E09000023,Lewisham,2016/17,Boys,1165,41.5,-0.49
E09000024,Merton,2016/17,Boys,725,47.5,0.3
E09000025,Newham,2016/17,Boys,1753,46.1,0.26
E09000026,Redbridge,2016/17,Boys,1817,48.2,0.17
E09000027,Richmond upon Thames,2016/17,Boys,698,49.3,-0.1
E09000028,Southwark,2016/17,Boys,1109,49,0.24
E09000029,Sutton,2016/17,Boys,1418,54.6,0.06
E09000030,Tower Hamlets,2016/17,Boys,1303,44.1,-0.04
E09000031,Waltham Forest,2016/17,Boys,1254,43,-0.09
E09000032,Wandsworth,2016/17,Boys,925,48.2,0.12
E09000033,Westminster,2016/17,Boys,727,47.7,0.16
E13000001,Inner London,2016/17,Boys,12483,45.6,0.01
E13000002,Outer London,2016/17,Boys,25760,46.6,0.02
E12000001,North East,2016/17,Boys,12871,42.1,-0.4
E12000002,North West,2016/17,Boys,36627,43,-0.35
E12000003,Yorkshire and the Humber,2016/17,Boys,27006,43.1,-0.16
E12000004,East Midlands,2016/17,Boys,23155,42.9,-0.31
E12000005,West Midlands,2016/17,Boys,29701,42.7,-0.29
E12000006,East,2016/17,Boys,30400,44,-0.22
E12000007,London,2016/17,Boys,38243,46.3,0.02
E12000008,South East,2016/17,Boys,43111,44.8,-0.24
E12000009,South West,2016/17,Boys,25708,43.5,-0.34
E92000001,England,2016/17,Boys,266822,43.8,-0.24
E09000001,City of London,2016/17,Girls,.,.,.
E09000002,Barking and Dagenham,2016/17,Girls,1039,50.1,0.47
E09000003,Barnet,2016/17,Girls,1717,57.2,0.7
E09000004,Bexley,2016/17,Girls,1583,51.5,0.12
E09000005,Brent,2016/17,Girls,1464,51.1,0.66
E09000006,Bromley,2016/17,Girls,1690,52.5,0.34
E09000007,Camden,2016/17,Girls,878,51.2,0.26
E09000008,Croydon,2016/17,Girls,1863,48.5,0.28
E09000009,Ealing,2016/17,Girls,1329,51.5,0.61
E09000010,Enfield,2016/17,Girls,1623,48.6,0.31
E09000011,Greenwich,2016/17,Girls,1031,48.8,0.19
E09000012,Hackney,2016/17,Girls,1085,52.1,0.56
E09000013,Hammersmith and Fulham,2016/17,Girls,638,54.8,0.39
E09000014,Haringey,2016/17,Girls,1017,48.6,0.48
E09000015,Harrow,2016/17,Girls,1020,52.6,0.72
E09000016,Havering,2016/17,Girls,1359,49.5,0.09
E09000017,Hillingdon,2016/17,Girls,1444,50.4,0.4
E09000018,Hounslow,2016/17,Girls,1249,50.7,0.57
E09000019,Islington,2016/17,Girls,662,47.5,0.35
E09000020,Kensington and Chelsea,2016/17,Girls,306,54.2,0.62
E09000021,Kingston upon Thames,2016/17,Girls,791,57.6,0.6
E09000022,Lambeth,2016/17,Girls,933,48,0.16
E09000023,Lewisham,2016/17,Girls,1082,47.2,-0.05
E09000024,Merton,2016/17,Girls,695,53,0.7
E09000025,Newham,2016/17,Girls,1770,50.7,0.56
E09000026,Redbridge,2016/17,Girls,1641,54.4,0.69
E09000027,Richmond upon Thames,2016/17,Girls,676,56.2,0.39
E09000028,Southwark,2016/17,Girls,1219,51.8,0.37
E09000029,Sutton,2016/17,Girls,1341,57.8,0.43
E09000030,Tower Hamlets,2016/17,Girls,1320,50.3,0.54
E09000031,Waltham Forest,2016/17,Girls,1232,47.9,0.38
E09000032,Wandsworth,2016/17,Girls,770,51.1,0.31
E09000033,Westminster,2016/17,Girls,808,57,0.76
E13000001,Inner London,2016/17,Girls,12488,50.8,0.41
E13000002,Outer London,2016/17,Girls,24787,51.9,0.44
E12000001,North East,2016/17,Girls,12306,47.4,-0.01
E12000002,North West,2016/17,Girls,35662,48.3,0.07
E12000003,Yorkshire and the Humber,2016/17,Girls,26167,47.8,0.22
E12000004,East Midlands,2016/17,Girls,22337,47.9,0.1
E12000005,West Midlands,2016/17,Girls,29218,48.1,0.14
E12000006,East,2016/17,Girls,29753,49.4,0.21
E12000007,London,2016/17,Girls,37275,51.5,0.43
E12000008,South East,2016/17,Girls,40792,50.3,0.21
E12000009,South West,2016/17,Girls,24600,49.1,0.1
E92000001,England,2016/17,Girls,258110,49.1,0.18
E09000001,City of London,2015/16,All,.,.,.
E09000002,Barking and Dagenham,2015/16,All,2201,49.7,0.15
E09000003,Barnet,2015/16,All,3647,56.1,0.33
E09000004,Bexley,2015/16,All,3192,52.2,-0.04
E09000005,Brent,2015/16,All,3035,51.5,0.31
E09000006,Bromley,2015/16,All,3305,53.7,0.1
E09000007,Camden,2015/16,All,1422,50.6,0
