primary_care_trust_code,old_borough_code,new_borough_code,borough_name
E16000010,00AA,E09000001,City of London
E16000009,00AB,E09000002,Barking and Dagenham
E16000006,00AC,E09000003,Barnet
E17000002,00AD,E09000004,Bexley
E16000045,00AE,E09000005,Brent
E16000004,00AF,E09000006,Bromley
E16000047,00AG,E09000007,Camden
E16000049,00AH,E09000008,Croydon
E16000035,00AJ,E09000009,Ealing
E16000008,00AK,E09000010,Enfield
E16000005,00AL,E09000011,Greenwich
E16000010,00AM,E09000012,Hackney
E16000030,00AN,E09000013,Hammersmith and Fulham
E16000013,00AP,E09000014,Haringey
E16000046,00AQ,E09000015,Harrow
E16000002,00AR,E09000016,Havering
E16000007,00AS,E09000017,Hillingdon
E16000036,00AT,E09000018,Hounslow
E16000048,00AU,E09000019,Islington
E16000056,00AW,E09000020,Kensington and Chelsea
E16000003,00AX,E09000021,Kingston upon Thames
E16000058,00AY,E09000022,Lambeth
E16000060,00AZ,E09000023,Lewisham
E16000068,00BA,E09000024,Merton
E16000012,00BB,E09000025,Newham
E16000083,00BC,E09000026,Redbridge
E16000067,00BD,E09000027,Richmond upon Thames
E16000059,00BE,E09000028,Southwark
E16000068,00BF,E09000029,Sutton
E16000011,00BG,E09000030,Tower Hamlets
E16000084,00BH,E09000031,Waltham Forest
E16000061,00BJ,E09000032,Wandsworth
E16000057,00BK,E09000033,Westminster
